id,plant_id,timestamp,electricity_consumption_kwh,diesel_consumption_liters,natural_gas_consumption_m3,production_quantity,raw_material_consumption_kg,machine_runtime_hours,temperature_c,pressure_bar,previous_co2_emission_kg,actual_co2_emission_kg
68,3,2026-01-14 00:00:00,13474.2,699.4,2478.6,1952.6,4815.0,18.2,35.8,9.52,10248.0,10553.0
69,4,2026-01-14 00:00:00,8154.1,398.5,1431.9,1478.6,3121.6,20.3,32.3,6.04,4809.5,4712.0
70,5,2026-01-14 00:00:00,6369.8,300.7,1206.1,1306.3,2533.7,20.7,33.9,9.45,3192.5,3178.3
71,1,2026-01-15 00:00:00,23672.0,1291.2,3322.9,3322.4,7831.3,20.2,36.0,7.52,18778.9,19511.9
72,2,2026-01-15 00:00:00,19039.6,1060.0,4305.3,4300.2,9083.8,20.5,19.0,6.79,21342.6,21889.0
73,3,2026-01-15 00:00:00,11200.8,556.5,2108.0,1691.4,4183.7,14.9,34.1,5.93,8934.6,8711.4
74,4,2026-01-15 00:00:00,8053.1,420.8,1325.6,1502.7,2929.3,18.5,29.8,4.98,4583.1,4660.8
75,5,2026-01-15 00:00:00,6686.0,275.9,1152.4,1177.3,2622.4,20.4,37.5,7.42,3067.9,3125.9
76,1,2026-01-16 00:00:00,20225.1,1006.3,2998.6,3255.4,7012.5,17.1,31.0,6.69,16623.7,16856.7
77,2,2026-01-16 00:00:00,19462.8,1059.4,4267.2,4491.4,10759.1,21.2,28.5,8.2,22807.9,21777.5
78,3,2026-01-16 00:00:00,13281.9,645.7,2791.7,2098.6,4812.9,19.8,41.8,9.34,10724.2,11150.8
79,4,2026-01-16 00:00:00,9305.1,479.8,1644.5,1680.5,3576.3,21.9,41.5,5.79,5498.4,5563.2
80,5,2026-01-16 00:00:00,7077.3,343.4,1317.9,1312.9,2863.0,22.8,28.0,9.45,3608.4,3496.3
81,1,2026-01-17 00:00:00,17777.9,1019.4,3126.6,2917.1,6304.4,16.7,30.9,6.33,16507.3,16435.9
82,2,2026-01-17 00:00:00,16000.3,815.1,3949.3,3892.7,8321.9,18.3,36.6,4.73,20084.2,19680.3
83,3,2026-01-17 00:00:00,14913.1,784.4,3174.4,2475.7,5637.8,21.7,18.9,7.16,13378.6,12901.6
84,4,2026-01-17 00:00:00,9387.0,470.7,1662.4,1855.4,3406.7,22.3,33.7,5.32,5894.2,5630.0
85,5,2026-01-17 00:00:00,5496.4,248.0,992.6,1097.5,2182.7,17.2,27.1,6.18,2809.7,2738.7
86,1,2026-01-18 00:00:00,22708.5,1222.5,3974.2,4198.2,9629.9,22.3,35.9,6.8,20611.1,20339.1
87,2,2026-01-18 00:00:00,19889.1,1100.3,4947.5,4300.3,11094.4,22.3,25.0,6.49,23273.7,23201.4
88,3,2026-01-18 00:00:00,14215.6,634.2,2555.9,2173.0,5140.6,19.4,23.8,9.34,10810.7,10852.9
89,4,2026-01-18 00:00:00,6697.1,310.6,1282.5,1406.7,2614.2,16.4,21.8,6.84,4115.6,4079.9
90,5,2026-01-18 00:00:00,6155.5,267.3,1158.9,1140.7,2367.5,20.1,29.6,5.76,3052.1,3029.4
91,1,2026-01-19 00:00:00,24896.7,1538.2,4185.7,3928.8,9458.7,23.4,34.5,8.45,22155.9,21922.6
92,2,2026-01-19 00:00:00,17918.3,850.3,4091.3,4002.7,8672.6,18.7,33.3,7.79,21316.0,20855.2
93,3,2026-01-19 00:00:00,14979.2,728.7,3002.5,2187.6,5116.6,20.3,28.6,7.57,12006.8,12519.9
94,4,2026-01-19 00:00:00,7422.7,329.9,1195.1,1353.5,2800.4,16.8,30.7,9.34,4226.7,4332.0
95,5,2026-01-19 00:00:00,6738.4,323.9,1240.4,1270.0,2454.9,21.8,41.1,5.25,3565.3,3441.4
96,1,2026-01-20 00:00:00,24755.4,1371.2,3813.5,3569.1,8748.8,20.9,18.3,7.34,21729.3,21360.1
97,2,2026-01-20 00:00:00,18608.4,1031.5,4548.1,3982.0,9277.3,20.4,18.6,9.19,23196.3,22271.5
98,3,2026-01-20 00:00:00,10482.4,600.0,2383.2,1630.3,4124.6,16.1,21.4,9.52,9109.4,9116.1
99,4,2026-01-20 00:00:00,6724.9,290.1,1110.2,1228.6,2399.3,14.9,40.7,6.72,3780.8,3916.1
100,5,2026-01-20 00:00:00,5193.0,250.1,971.8,1161.3,1987.4,17.9,26.9,6.85,2829.3,2732.2
101,1,2026-01-21 00:00:00,16876.9,902.0,2781.9,2541.2,5862.9,14.9,22.6,5.15,15266.1,15335.5
102,2,2026-01-21 00:00:00,18684.2,983.0,3977.3,4483.1,9246.9,20.3,21.0,7.49,21188.2,20640.9
103,3,2026-01-21 00:00:00,10691.0,601.4,2186.2,1573.4,4426.6,16.0,18.1,9.05,8427.7,8751.5
104,4,2026-01-21 00:00:00,6607.0,355.5,1148.3,1197.4,2659.9,16.4,23.7,6.22,3662.4,3834.0
105,5,2026-01-21 00:00:00,6537.2,308.4,1151.2,1323.1,2525.3,21.0,20.6,7.17,3160.5,3311.7
106,1,2026-01-22 00:00:00,24922.2,1289.5,3723.0,4057.8,7958.5,21.4,29.5,6.63,21794.2,21815.4
107,2,2026-01-22 00:00:00,18952.0,983.5,4818.0,4375.0,10348.6,22.6,33.2,7.41,23793.5,22672.1
108,3,2026-01-22 00:00:00,13201.5,679.0,2510.7,2067.5,5218.8,19.0,33.6,8.58,10666.9,10979.8
109,4,2026-01-22 00:00:00,7439.6,371.9,1363.6,1441.9,2652.7,18.3,28.2,8.03,4308.5,4463.5
110,5,2026-01-22 00:00:00,6578.5,340.4,1182.6,1268.7,2840.5,22.8,37.5,7.45,3295.8,3275.6
111,1,2026-01-23 00:00:00,17673.1,996.0,3061.8,3127.3,7242.8,17.1,35.3,9.63,16195.5,16439.4
112,2,2026-01-23 00:00:00,16743.4,955.3,3936.9,3806.2,9774.3,19.5,26.8,8.54,20620.5,20005.9
113,3,2026-01-23 00:00:00,16569.3,819.0,3129.0,2369.3,5286.4,22.0,40.3,8.9,12641.6,13058.9
114,4,2026-01-23 00:00:00,8528.6,420.8,1445.2,1766.2,3242.5,20.7,27.6,5.25,4895.1,5136.2
115,5,2026-01-23 00:00:00,6242.9,290.7,1134.7,1236.4,2621.8,21.1,36.6,7.51,2836.1,2968.9
116,1,2026-01-24 00:00:00,17371.5,962.4,2626.0,2791.6,6185.8,15.5,28.6,5.95,14866.7,15463.9
117,2,2026-01-24 00:00:00,15725.1,890.4,3793.9,3915.3,7972.2,18.1,27.5,7.68,17984.7,18349.1
118,3,2026-01-24 00:00:00,10549.9,532.6,2186.1,1531.1,4324.4,16.0,22.2,6.52,8939.7,8939.5
119,4,2026-01-24 00:00:00,9763.5,420.5,1725.7,1607.7,3133.1,21.9,40.1,9.07,5698.5,5657.0
120,5,2026-01-24 00:00:00,6332.5,267.5,1062.1,1202.8,2603.8,20.7,32.8,8.91,2957.5,3084.5
121,1,2026-01-25 00:00:00,23206.1,1343.5,3862.9,3777.8,8532.9,22.0,26.1,6.27,20470.7,20449.3
122,2,2026-01-25 00:00:00,13611.6,775.5,3104.1,3300.8,7538.5,15.1,37.6,5.75,15209.5,15684.3
123,3,2026-01-25 00:00:00,14364.1,710.9,2633.3,2170.1,5117.2,19.7,36.1,8.53,11927.6,11442.3
124,4,2026-01-25 00:00:00,8423.5,417.5,1529.2,1587.5,2839.1,19.4,19.6,6.84,4871.8,4984.1
125,5,2026-01-25 00:00:00,4500.3,195.3,792.1,800.6,1832.3,14.5,19.8,9.08,2227.0,2201.7
